day,hour,demand
51,1207,2199
51,1208,2374
51,1209,2526
51,1210,2636
51,1211,2653
51,1212,2723
51,1213,2697
51,1214,2596
51,1215,2512
51,1216,2414
51,1217,2350
51,1218,2407
51,1219,2616
51,1220,2584
51,1221,2508
51,1222,2282
51,1223,1981
51,1224,1734
52,1225,1676
52,1226,1708
52,1227,1729
52,1228,1791
52,1229,1912
52,1230,2134
52,1231,2410
52,1232,2591
52,1233,2741
52,1234,2868
52,1235,2938
52,1236,2825
52,1237,2620
52,1238,2562
52,1239,2497
52,1240,2431
52,1241,2394
52,1242,2483
52,1243,2669
52,1244,2626
52,1245,2539
52,1246,2369
52,1247,2138
52,1248,1920
53,1249,1876
53,1250,1806
53,1251,1745
53,1252,1702
53,1253,1849
53,1254,2044
53,1255,2352
53,1256,2569
53,1257,2718
53,1258,2864
53,1259,2963
53,1260,2863
53,1261,2681
53,1262,2637
53,1263,2589
53,1264,2514
53,1265,2472
53,1266,2504
53,1267,2664
53,1268,2616
53,1269,2530
53,1270,2336
53,1271,2069
53,1272,1813
54,1273,1668
54,1274,1636
54,1275,1615
54,1276,1668
54,1277,1762
54,1278,1939
54,1279,2279
54,1280,2539
54,1281,2702
54,1282,2854
54,1283,2949
54,1284,2868
54,1285,2696
54,1286,2656
54,1287,2611
54,1288,2538
54,1289,2492
54,1290,2514
54,1291,2678
54,1292,2634
54,1293,2537
54,1294,2281
54,1295,1997
54,1296,1775
55,1297,1659
55,1298,1608
55,1299,1592
55,1300,1559
55,1301,1803
55,1302,2037
55,1303,2304
55,1304,2511
55,1305,2686
55,1306,2845
55,1307,2950
55,1308,2860
55,1309,2672
55,1310,2621
55,1311,2563
55,1312,2480
55,1313,2429
55,1314,2444
55,1315,2588
55,1316,2527
55,1317,2443
55,1318,2234
55,1319,1983
55,1320,1622
56,1321,1464
56,1322,1377
56,1323,1326
56,1324,1356
56,1325,1489
56,1326,1720
56,1327,1935
56,1328,2174
56,1329,2391
56,1330,2559
56,1331,2657
56,1332,2540
56,1333,2346
56,1334,2270
56,1335,2214
56,1336,2147
56,1337,2151
56,1338,2269
56,1339,2436
56,1340,2416
56,1341,2332
56,1342,2065
56,1343,1773
56,1344,1655
57,1345,1462
57,1346,1344
57,1347,1380
57,1348,1453
57,1349,1587
57,1350,1824
57,1351,1991
57,1352,2124
57,1353,2243
57,1354,2332
57,1355,2323
57,1356,2417
57,1357,2399
57,1358,2326
57,1359,2267
57,1360,2204
57,1361,2178
57,1362,2253
57,1363,2442
57,1364,2429
57,1365,2351
57,1366,2165
57,1367,1905
57,1368,1677
58,1369,1636
58,1370,1583
58,1371,1384
58,1372,1477
58,1373,1839
58,1374,2110
58,1375,2376
58,1376,2594
58,1377,2697
58,1378,2769
58,1379,2769
58,1380,2840
58,1381,2823
58,1382,2747
58,1383,2679
58,1384,2599
58,1385,2548
58,1386,2565
58,1387,2755
58,1388,2733
58,1389,2645
58,1390,2406
58,1391,2105
58,1392,1811
59,1393,1628
59,1394,1560
59,1395,1577
59,1396,1765
59,1397,1930
59,1398,2153
59,1399,2474
59,1400,2705
59,1401,2833
59,1402,2952
59,1403,3008
59,1404,2892
59,1405,2668
59,1406,2589
59,1407,2522
59,1408,2442
59,1409,2439
59,1410,2543
59,1411,2745
59,1412,2719
59,1413,2613
59,1414,2333
59,1415,2001
59,1416,1754
60,1417,1668
60,1418,1614
