ρ,day,hour,iteration,imbalance_MW,imbalance_up_MW,imbalance_down_MW
0.3,7,154,demand_1,-245.59119227500014,0.0,245.59119227500014
0.3,7,155,demand_1,-224.43586754999978,0.0,224.43586754999978
0.3,7,156,demand_1,16.35865100000001,16.35865100000001,-0.0
0.3,7,157,demand_1,-18.56572499999993,0.0,18.56572499999993
0.3,7,158,demand_1,169.80907100000013,169.80907100000013,-0.0
0.3,7,159,demand_1,8.413677000000007,8.413677000000007,-0.0
0.3,7,160,demand_1,-65.3079029999999,0.0,65.3079029999999
0.3,7,161,demand_1,-158.44442600000002,0.0,158.44442600000002
0.3,7,162,demand_1,217.54575372499994,217.54575372499994,-0.0
0.3,7,163,demand_1,-72.51593400000002,0.0,72.51593400000002
0.3,7,164,demand_1,57.68604499999992,57.68604499999992,-0.0
0.3,7,165,demand_1,167.71493242499992,167.71493242499992,-0.0
0.3,7,166,demand_1,12.382310999999845,12.382310999999845,-0.0
0.3,7,167,demand_1,-42.12769800000001,0.0,42.12769800000001
0.3,7,168,demand_1,24.111075000000028,24.111075000000028,-0.0
0.4,7,145,demand_1,-19.84256000000005,0.0,19.84256000000005
0.4,7,146,demand_1,99.964203,99.964203,-0.0
0.4,7,147,demand_1,60.04494399999999,60.04494399999999,-0.0
0.4,7,148,demand_1,12.00330299999996,12.00330299999996,-0.0
0.4,7,149,demand_1,-145.65072400000008,0.0,145.65072400000008
0.4,7,150,demand_1,-162.227486,0.0,162.227486
0.4,7,151,demand_1,-124.24744499999997,0.0,124.24744499999997
0.4,7,152,demand_1,-80.96147500000006,0.0,80.96147500000006
0.4,7,153,demand_1,36.416661000000204,36.416661000000204,-0.0
0.4,7,154,demand_1,142.02480100000002,142.02480100000002,-0.0
0.4,7,155,demand_1,154.13687500000015,154.13687500000015,-0.0
0.4,7,156,demand_1,-174.9475950000001,0.0,174.9475950000001
0.4,7,157,demand_1,-111.44319700000005,0.0,111.44319700000005
0.4,7,158,demand_1,47.81108899999981,47.81108899999981,-0.0
0.4,7,159,demand_1,34.05078400000002,34.05078400000002,-0.0
0.4,7,160,demand_1,-125.5118480000001,0.0,125.5118480000001
0.4,7,161,demand_1,-98.11838500000022,0.0,98.11838500000022
0.4,7,162,demand_1,-73.39525800000001,0.0,73.39525800000001
0.4,7,163,demand_1,41.89832200000001,41.89832200000001,-0.0
0.4,7,164,demand_1,-107.42306899999994,0.0,107.42306899999994
0.4,7,165,demand_1,-246.12216984999986,0.0,246.12216984999986
0.4,7,166,demand_1,-214.75717800000007,0.0,214.75717800000007
0.4,7,167,demand_1,-106.63012099999992,0.0,106.63012099999992
