hour,resource,configuration,day,production_MW
182,hydroelectric_pumped_storage,base_ramp_storage_envelopes_up_0_2_dn_0_2,7,42.069
183,hydroelectric_pumped_storage,base_ramp_storage_envelopes_up_0_2_dn_0_2,7,42.069
184,hydroelectric_pumped_storage,base_ramp_storage_envelopes_up_0_2_dn_0_2,7,42.069
185,hydroelectric_pumped_storage,base_ramp_storage_envelopes_up_0_2_dn_0_2,7,42.069
186,hydroelectric_pumped_storage,base_ramp_storage_envelopes_up_0_2_dn_0_2,7,42.069
187,hydroelectric_pumped_storage,base_ramp_storage_envelopes_up_0_2_dn_0_2,7,42.069
188,hydroelectric_pumped_storage,base_ramp_storage_envelopes_up_0_2_dn_0_2,7,42.069
189,hydroelectric_pumped_storage,base_ramp_storage_envelopes_up_0_2_dn_0_2,7,42.069
190,hydroelectric_pumped_storage,base_ramp_storage_envelopes_up_0_2_dn_0_2,7,42.069
191,hydroelectric_pumped_storage,base_ramp_storage_envelopes_up_0_2_dn_0_2,7,42.069
192,hydroelectric_pumped_storage,base_ramp_storage_envelopes_up_0_2_dn_0_2,7,42.069
169,hydroelectric_pumped_storage,base_ramp_storage_envelopes_up_1_dn_1,7,42.069
170,hydroelectric_pumped_storage,base_ramp_storage_envelopes_up_1_dn_1,7,42.069
171,hydroelectric_pumped_storage,base_ramp_storage_envelopes_up_1_dn_1,7,42.069
172,hydroelectric_pumped_storage,base_ramp_storage_envelopes_up_1_dn_1,7,42.069
173,hydroelectric_pumped_storage,base_ramp_storage_envelopes_up_1_dn_1,7,42.069
174,hydroelectric_pumped_storage,base_ramp_storage_envelopes_up_1_dn_1,7,42.069
175,hydroelectric_pumped_storage,base_ramp_storage_envelopes_up_1_dn_1,7,42.069
176,hydroelectric_pumped_storage,base_ramp_storage_envelopes_up_1_dn_1,7,42.069
177,hydroelectric_pumped_storage,base_ramp_storage_envelopes_up_1_dn_1,7,42.069
178,hydroelectric_pumped_storage,base_ramp_storage_envelopes_up_1_dn_1,7,42.069
179,hydroelectric_pumped_storage,base_ramp_storage_envelopes_up_1_dn_1,7,42.069
180,hydroelectric_pumped_storage,base_ramp_storage_envelopes_up_1_dn_1,7,42.069
181,hydroelectric_pumped_storage,base_ramp_storage_envelopes_up_1_dn_1,7,42.069
182,hydroelectric_pumped_storage,base_ramp_storage_envelopes_up_1_dn_1,7,42.069
183,hydroelectric_pumped_storage,base_ramp_storage_envelopes_up_1_dn_1,7,42.069
