configuration,day,r_id,mu,SOE_MWh,SOC
base_ramp_storage_envelopes_up_0_6_dn_0_6,7,101,0.6,0.0,0.0
base_ramp_storage_envelopes_up_0_6_dn_0_6,7,102,0.6,135.24107648725249,0.10472438941246107
base_ramp_storage_envelopes_up_0_6_dn_0_6,7,103,0.6,0.0,0.0
base_ramp_storage_envelopes_up_0_6_dn_0_6,7,104,0.6,563.5358239999764,0.3524522008880951
base_ramp_storage_envelopes_up_0_6_dn_0_6,7,105,0.6,319.2913381936442,0.2774757436287852
base_ramp_storage_envelopes_up_0_6_dn_0_6,7,106,0.6,13.797047618262475,0.009806003993079217
base_ramp_storage_envelopes_up_0_6_dn_0_6,7,107,0.6,428.30331170833495,0.33804523418179583
base_ramp_storage_envelopes_up_0_6_dn_0_6,7,108,0.6,202.60778012753005,0.23123462694308375
base_ramp_storage_envelopes_up_0_6_dn_0_6,7,109,0.6,601.9282979999994,0.4291823871657747
base_ramp_storage_envelopes_up_0_6_dn_0_6,7,110,0.6,526.7413752956412,0.41755162528389944
base_ramp_storage_envelopes_up_0_8_dn_0_8,1,101,0.8,0.0,0.0
base_ramp_storage_envelopes_up_0_8_dn_0_8,1,102,0.8,0.0,0.0
base_ramp_storage_envelopes_up_0_8_dn_0_8,1,103,0.8,0.0,0.0
base_ramp_storage_envelopes_up_0_8_dn_0_8,1,104,0.8,559.2110470644403,0.3497473557223352
base_ramp_storage_envelopes_up_0_8_dn_0_8,1,105,0.8,486.16971439387765,0.4224991000207505
base_ramp_storage_envelopes_up_0_8_dn_0_8,1,106,0.8,0.0,0.0
base_ramp_storage_envelopes_up_0_8_dn_0_8,1,107,0.8,343.21441911234035,0.2708874657555959
base_ramp_storage_envelopes_up_0_8_dn_0_8,1,108,0.8,0.0,0.0
base_ramp_storage_envelopes_up_0_8_dn_0_8,1,109,0.8,0.0,0.0
base_ramp_storage_envelopes_up_0_8_dn_0_8,1,110,0.8,82.30694955119252,0.06524530285469071
